run,focal_site,plant,category,candidates,deterministic,expected,sd,share
B-uniform,Rocky coastal 1,Salvia rosmarinus,recurrent,46,0,0.9713897320269927,0.9558079630597646,0.021117168087543322
B-uniform,Rocky coastal 1,Salvia rosmarinus,weakly-supported,46,1,6.536754733067746,2.3342895209130172,0.1421033637623423
B-uniform,Rocky coastal 1,Sedum sediforme,locally absent,46,4,12.146237446651245,2.9323939810068667,0.2640486401445923
B-uniform,Rocky coastal 1,Sedum sediforme,locally unique,46,0,1.1123788216631025,1.0330701872491395,0.02418214829702397
B-uniform,Rocky coastal 1,Sedum sediforme,model-elusive,46,1,5.912971053656582,2.1885021302812913,0.1285428489925344
B-uniform,Rocky coastal 1,Sedum sediforme,phantom,46,2,2.409921640394854,1.4849725198612513,0.05238960087814899
B-uniform,Rocky coastal 1,Sedum sediforme,possibly forbidden,46,36,14.709391766711665,3.087172864549563,0.3197693862328623
B-uniform,Rocky coastal 1,Sedum sediforme,possibly missing,46,0,1.9535736849305552,1.3517231691047324,0.04246899315066424
B-uniform,Rocky coastal 1,Sedum sediforme,recurrent,46,1,1.1752770541867197,1.0174912485669714,0.025549501177972167
B-uniform,Rocky coastal 1,Sedum sediforme,weakly-supported,46,2,6.5802485318052755,2.3184479985618975,0.14304888112620165
B-uniform,Rocky coastal 1,Teucrium capitatum,locally absent,46,5,7.1395371277507875,2.31287933751717,0.15520732886414756
B-uniform,Rocky coastal 1,Teucrium capitatum,locally unique,46,1,3.5234631291927845,1.751142803805022,0.07659702454766923
B-uniform,Rocky coastal 1,Teucrium capitatum,model-elusive,46,6,9.463311363645754,2.5366254193789364,0.20572416007925554
B-uniform,Rocky coastal 1,Teucrium capitatum,phantom,46,5,3.223493566823914,1.6828244594559203,0.0700759471048677
B-uniform,Rocky coastal 1,Teucrium capitatum,possibly forbidden,46,12,6.557654073364557,2.2212394105174655,0.1425576972470556
B-uniform,Rocky coastal 1,Teucrium capitatum,possibly missing,46,4,3.6389805416609713,1.7829790456618855,0.07910827264480372
B-uniform,Rocky coastal 1,Teucrium capitatum,recurrent,46,11,6.216937383698449,2.1040783251388704,0.1351508126890967
B-uniform,Rocky coastal 1,Teucrium capitatum,weakly-supported,46,2,6.236622813862782,2.237282692036627,0.13557875682310397
