run,model_as,phi,top_category,top_conf,det_conf,focal_site,pollinator,plant,Y,O_l,n,R,camera,det_category,recurrent,locally unique,possibly missing,phantom,model-elusive,weakly-supported,locally absent,possibly forbidden
B-degree,prior,0.23696376529540242,possibly forbidden,0.6873000366397615,0.6873000366397615,Pine forest 2,Exoprosopa cf. bowdeni,Globularia alypum,0,0,0,2,NA,possibly forbidden,5.970512097697442e-4,0.0021799143764704727,0.02074319485482959,0.0757361980648361,0.005418192737893506,0.019782551396850888,0.1882428607195882,0.6873000366397615
B-degree,prior,0.2713596077822862,possibly forbidden,0.6731661137462477,0.6731661137462477,Pine forest 2,Hydrellia sp,Asphodelus fistulosus,0,0,0,0,NA,possibly forbidden,4.138713806087351e-4,0.0012058432871102115,0.0190399668552956,0.05547427847146613,0.0050222228490719315,0.014632598417454073,0.23104510499274564,0.6731661137462477
B-degree,prior,0,possibly forbidden,0.9158393224028736,0.9158393224028736,Pine forest 2,Hydrellia sp,Blackstonia perfoliata,0,0,0,0,NA,possibly forbidden,0,0,0,0.08416067759712642,0,0,0,0.9158393224028736
B-degree,prior,0.8816492900251609,recurrent,0.2952510699608133,0.2112455077775224,Pine forest 2,Hydrellia sp,Cistus monspeliensis,1,1,0,0,NA,locally unique,0.2952510699608133,0.2112455077775224,0.1169758651765679,0.08369360368522545,0.12226200406233002,0.08747571730552,0.04843912574240723,0.03465710628961369
B-degree,prior,0,possibly forbidden,0.8403345528899141,0.8403345528899141,Pine forest 2,Hydrellia sp,Fumana ericoides,0,0,0,0,NA,possibly forbidden,0,0,0,0.1596654471100859,0,0,0,0.8403345528899141
B-degree,prior,0.1168860614505498,possibly forbidden,0.7954592648632234,0.7954592648632234,Pine forest 2,Hydrellia sp,Globularia alypum,0,0,0,0,NA,possibly forbidden,9.039762457365525e-5,7.353190126243857e-4,0.010775968182481088,0.08765467368622677,8.203513282833697e-4,0.00667296216646635,0.09779106313612104,0.7954592648632234
B-degree,prior,0.9896452451223451,locally absent,0.49544840424751346,0.3009589271619187,Pine forest 2,Lasioglossum sp.,Asphodelus fistulosus,1,0,1,1,NA,possibly missing,0.0720865248709154,9.372569357181879e-4,0.3009589271619187,0.003913017618118276,0.11867118896203616,0.0015429429442432162,0.49544840424751346,0.006441737259536642
B-degree,prior,1.1102230246251565e-16,possibly forbidden,0.5337716183812469,0.466228381618753,Pine forest 2,Lasioglossum sp.,Blackstonia perfoliata,1,0,0,0,1,phantom,0,0,0,0.466228381618753,0,0,0,0.5337716183812469
B-degree,prior,0.9999999999998931,recurrent,0.957520453306089,1.339496702787205e-10,Pine forest 2,Lasioglossum sp.,Cistus monspeliensis,1,1,0,1,1,locally unique,0.957520453306089,1.339496702787205e-10,7.323826670350777e-4,1.0245464358330354e-13,0.041715256964216574,5.83564026925562e-12,3.190692276704839e-5,4.463530538170649e-15
B-degree,prior,1.1102230246251565e-16,possibly forbidden,0.6637583130710281,0,Pine forest 2,Lasioglossum sp.,Fumana ericoides,0,1,0,0,1,weakly-supported,0,0,0,0.33624168692897183,0,0,0,0.6637583130710281
